Word,Frequency
power law,955
darcy law,303
cubic law,91
law relationship,90
power law relationship,88
scaling law,85
power law scaling,53
law scaling,53
conservation law,46
fick law,41
power law exponent,38
law exponent,38
power law function,37
law function,37
rate law,37
law that,35
law model,35
law used,33
water law,31
archie law,30
using darcy law,30
physical law,28
law relationship between,28
local cubic law,26
law based,25
log law,24
law flow,24
truncated power law,23
power law distribution,23
law distribution,23
law behavior,23
power law model,23
horton law,23
power law behavior,22
forchheimer law,22
hack law,22
second law,20
following power law,20
follows power law,19
law length,18
using power law,18
law mass,18
based darcy law,18
that power law,17
power law length,17
form darcy law,17
first law,17
law form,16
law thermodynamics,16
law applied,16
follow power law,15
friction law,15
power law relation,15
law relation,15
henry law,15
st lawrence,15
simple power law,14
flow law,14
logarithmic law,14
exponent power law,13
power law form,13
empirical law,13
law dependence,13
law exponential,13
law using,12
resistance law,12
constitutive law,12
distribution law,12
power law dependence,12
exponential power law,12
power law exponential,12
power law decay,12
law decay,12
second law thermodynamics,11
law both,11
law equation,11
darcy law used,11
law fluid,11
law models,11
exhibit power law,11
fick first law,11
st lawrence river,11
lawrence river,11
law recession,10
law equations,10
empirical power law,10
flow resistance law,10
observed power law,10
power law that,10
poiseuille law,10
law length distribution,9
power law recession,9
power law equations,9
law may,9
power law distributions,9
law distributions,9
law such,9
defined power law,9
1 power law,9
power law models,9
law two,9
law water,9
izbash law,9
equation darcy law,9
transport law,9
law have,8
law not,8
approximated power law,8
law parameters,8
power law tailing,8
law tailing,8
law derived,8
law fluid flow,8
exhibits power law,8
law however,8
law type,8
flux law,8
law found,8
law constant,8
use power law,7
law relating,7
darcy law flow,7
law c,7
law obtained,7
power law exponents,7
law exponents,7
law used describe,7
darcy law using,7
power law cross,7
law cross,7
power law parameters,7
law these,7
law developed,7
law mass action,7
followed power law,7
power law tails,7
law tails,7
according power law,7
law governing,7
power law functions,7
law functions,7
power law flow,7
power law type,7
time power law,7
used power law,7
law modified,7
law wall,7
order rate law,7
power law hydraulic,6
law hydraulic,6
law but,6
law model parameters,6
ohm law,6
power law fluids,6
law fluids,6
law sensitivity,6
discharge power law,6
law mass balance,6
based power law,6
values power law,6
power law relations,6
law relations,6
scaling law that,6
law well,6
law fracture,6
two power law,6
power law storage,6
law storage,6
law applies,6
archie second law,6
power law equation,6
law conservation,6
characterized power law,6
power law tail,6
law tail,6
law i,6
law fractal,6
power law correlation,6
law correlation,6
linear power law,6
evolution law,6
generalized darcy law,6
balance law,6
law proposed,6
law results,6
power law slope,6
law slope,6
power law like,6
law like,6
mass conservation law,6
law probability,6
exponential law,6
flow cubic law,6
have power law,6
law describing,6
stokes law,6
henry law constant,6
law linear,5
show power law,5
power law coefficient,5
law coefficient,5
darcy law not,5
general power law,5
system conservation law,5
power law c,5
law policy,5
broken power law,5
power law based,5
law scaling relationship,5
fitting power law,5
power law fluid,5
law more,5
law sediment,5
law policies,5
slope power law,5
law i e,5
variability power law,5
new power law,5
power law relating,5
power law slopes,5
law slopes,5
through power law,5
law local,5
law between,5
when power law,5
via power law,5
based fick law,5
law analytical,5
international water law,5
law new,5
reaction rate law,5
law diffusion,5
law assuming,5
power law variogram,5
law variogram,5
law often,5
law assumed,5
that darcy law,5
law based analytical,5
refraction law,5
law used calculate,5
expressed power law,5
lake malawi,5
law have been,4
cubic law based,4
law relative,4
networks power law,4
law length distributions,4
extended darcy law,4
law they,4
law it,4
law also,4
newtonian power law,4
universal power law,4
these law,4
between power law,4
law distribution fracture,4
governed darcy law,4
law saturated,4
use darcy law,4
darcy law mass,4
both power law,4
law tested,4
law scale,4
law regulations,4
validity darcy law,4
law steady,4
power law fracture,4
law fracture length,4
mixing law,4
buckingham darcy law,4
power law tpl,4
law tpl,4
cubic law lcl,4
law lcl,4
cubic law flow,4
law reynolds,4
parameters power law,4
darcy law more,4
law furthermore,4
obtained power law,4
law empirical,4
law only,4
law expression,4
law basis,4
law cross sections,4
single power law,4
stream power law,4
newton law,4
newton law cooling,4
law cooling,4
law study,4
model power law,4
gamma law,4
law under,4
law diminishing,4
law 1,4
law continuity,4
case power law,4
power law index,4
law index,4
law high,4
scaling power law,4
solution darcy law,4
such power law,4
law relation between,4
power law memory,4
law memory,4
law coupled,4
law describe,4
applying darcy law,4
power law averaging,4
law averaging,4
law head,4
power law flux,4
law flux,4
fractal scaling law,4
power law probability,4
law over,4
law power,4
generalized horton law,4
discharge law,4
law then,4
water rights law,4
rights law,4
izbash law based,4
law their,4
gravity law,4
cubic law used,4
gas law,4
law scaling behavior,4
law large,4
law prior,4
power law behaviour,4
law behaviour,4
law first,4
lognormal distribution law,4
volume law,4
feedback law,4
power law forms,3
law forms,3
law single,3
used cubic law,3
t power law,3
flow power law,3
empirical law that,3
law numerical,3
based law,3
law all,3
environmental law,3
according law,3
international law,3
law recession behavior,3
leads power law,3
power law spectral,3
law spectral,3
law spectral scaling,3
represented power law,3
law predicted,3
law channel,3
deviation power law,3
law relationship found,3
law need,3
macroscopic law,3
hyperbolic conservation law,3
conservation law sensitivity,3
darcy law saturated,3
law fault,3
tailed power law,3
length power law,3
extension darcy law,3
darcy law steady,3
law modeling,3
state law,3
similar power law,3
law fitting,3
law storage function,3
law hydraulic conductivity,3
described power law,3
area power law,3
media power law,3
law considered,3
universal scaling law,3
law surface,3
law similar,3
probability law,3
law tpl model,3
pure power law,3
unique scaling law,3
statistical law,3
such horton law,3
law hack,3
law coefficient k,3
functions power law,3
different power law,3
having power law,3
inverse power law,3
law would,3
law fits,3
law has,3
wall law,3
law assumptions,3
darcy law may,3
exner law,3
law finally,3
law when,3
darcy law applies,3
taken power law,3
assumes power law,3
known power law,3
mass balance law,3
classical fick law,3
law linking,3
law length exponent,3
law one,3
law its,3
line power law,3
power law breakthrough,3
law breakthrough,3
law driven,3
law driven spur,3
derived power law,3
darcy law continuity,3
law continuity equation,3
extended law,3
power law growth,3
law growth,3
using scaling law,3
law exponent 4,3
established law,3
phase darcy law,3
law transport,3
law size,3
function power law,3
simple scaling law,3
power law rtd,3
law rtd,3
power law rtds,3
law rtds,3
law effective,3
law n,3
darcy law however,3
existence power law,3
power law used,3
law flow rate,3
law diminishing marginal,3
power law increasing,3
law increasing,3
filtered darcy law,3
law calculate,3
law particle,3
law groundwater,3
linear darcy law,3
assuming power law,3
law cross section,3
negative power law,3
fick law diffusion,3
generalized flux law,3
law evaluated,3
law second,3
equation power law,3
basis darcy law,3
scaling law between,3
beer lambert law,3
lambert law,3
horton strahler law,3
strahler law,3
law fractal dimension,3
horton law network,3
law network,3
darcy law although,3
law although,3
law gas,3
law whereas,3
law power law,3
power law both,3
law time,3
darcy law lead,3
law lead,3
law roughness,3
infiltration law,3
power law found,3
constructal law,3
law function time,3
power law shear,3
law shear,3
law memory function,3
forchheimer law based,3
law porosity,3
has power law,3
power law residence,3
law residence,3
law residence time,3
law if,3
law flow equations,3
law leads,3
law approach,3
gravity law model,3
darcy law richards,3
law richards,3
horton law fractal,3
kinetic rate law,3
fundamental law,3
law river,3
bayes law,3
law each,3
law porous,3
power law diffusivity,3
law diffusivity,3
power law regimes,3
law regimes,3
hydraulic law,3
power law increase,3
law increase,3
application archie law,3
law rainfall,3
law total,3
law total probability,3
law velocity,3
ideal gas law,3
darcy law applied,3
darcy gersevanov law,3
gersevanov law,3
darcy law found,3
reformulation horton law,3
law non,3
decay law,3
three power law,3
first law thermodynamics,3
law prior appropriation,3
increased power law,3
cubic law applied,3
law provide,3
darcy law equation,3
decreases power law,3
that cubic law,3
local darcy law,3
deviation darcy law,3
power law distributed,3
law distributed,3
lakes st lawrence,3
derived darcy law,3
law present,3
law holds,3
continuity darcy law,3
law flow depth,3
lawrence river quebec,3
predicts power law,3
law conservation mass,3
departures darcy law,3
law random,3
averaged darcy law,3
forms power law,2
law hydraulic geometry,2
power law linear,2
law relationship based,2
corrected cubic law,2
law single phase,2
curve power law,2
also power law,2
bounds power law,2
law numerical simulations,2
law percolation,2
law percolation theory,2
science law,2
established physical law,2
law constitute,2
modern water law,2
law europe,2
law yet,2
