Word,Frequency
relationship between soil moisture,43
non linear relationship between,34
relationship between capillary pressure,30
power law relationship between,28
relationship between rainfall runoff,28
relationship between rainfall intensity,22
relationship between capillary pressure saturation,18
statistically significant relationship between,16
relationship between land use,16
relationship between model parameters,14
relationship between air temperature,14
relationship between soil water,14
no clear relationship between,13
insight into relationship between,12
relationship between hydraulic conductivity,12
relationship between surface water,11
relationship between sediment yield,11
relationship between suspended sediment,10
relationship between large scale,10
relationship between delta o,10
relationship between delta o 18,10
relationship between soil water content,10
complex nonlinear relationship between,9
relationship between water content,9
show that relationship between,9
relationship between water level,9
relationship between electrical conductivity,9
used study relationship between,9
relationship between capillary pressure saturation interfacial,8
relationship between el nino,8
relationship between water discharge,8
trade off relationship between,8
there no relationship between,8
relationship between mean annual,8
positive linear relationship between,8
relationship between input output,8
used develop relationship between,8
relationship between capillary pressure saturation interfacial area,7
relationship between velocity profile,7
relationship between watershed characteristics,7
showed that relationship between,7
relationship between actual potential,7
relationship between stream water,7
that describes relationship between,7
significant negative relationship between,7
study investigate relationship between,7
used investigate relationship between,7
relationship between near surface,7
relationship between water table,7
used evaluate relationship between,7
relationship between extreme precipitation,7
relationship between precipitation streamflow,7
used determine relationship between,7
no significant relationship between,7
there linear relationship between,7
relationship between these variables,6
relationship between velocity profile parameter,6
relationship between radar reflectivity,6
relationship between peak discharge,6
complementary relationship between actual,6
complementary relationship between actual potential,6
there strong relationship between,6
site specific relationship between,6
relationship between el nino southern,6
relationship between el nino southern oscillation,6
relationship between el nino southern oscillation enso,6
relationship between kinetic energy,6
relationship between water flux,6
i e relationship between,6
used quantify relationship between,6
relationship between stream flow,6
relationship between river flow,6
relationship between delta d,6
cause effect relationship between,6
functional relationship between capillary,5
functional relationship between capillary pressure,5
constitutive relationship between capillary,5
constitutive relationship between capillary pressure,5
there significant relationship between,5
study examines relationship between,5
relationship between velocity profile parameter gamma,5
relationship between dq dt,5
relationship between dq dt q,5
functional relationship between water,5
relationship between mean monthly,5
results showed that relationship between,5
relationship between these two,5
relationship between canopy height,5
relationship between solute concentrations,5
study investigated relationship between,5
relationship between rainfall recharge,5
better understanding relationship between,5
relationship between interfacial area,5
relationship between large scale climate,5
relationship between unsaturated hydraulic,5
relationship between unsaturated hydraulic conductivity,5
relationship between water storage,5
relationship between atmospheric circulation,5
relationship between stream discharge,5
relationship between water quality,5
suggest that relationship between,5
there no clear relationship between,5
paper investigates relationship between,5
relationship between storage discharge,5
relationship between suspended sediment concentration,5
relationship between precipitation runoff,5
relationship between contributing area,5
relationship between delta n,5
relationship between delta n 15,5
relationship between inputs outputs,5
results show that relationship between,5
relationship between air temperature water,5
relationship between air temperature water temperature,5
relationship between flow rate,5
study investigates relationship between,5
relationship between porosity hydraulic,5
relationship between porosity hydraulic conductivity,5
relationship between hyporheic exchange,5
complex non linear relationship between,5
negative linear relationship between,5
strong linear relationship between,5
our understanding relationship between,5
relationship between delta d delta,5
relationship between extreme precipitation corresponding,5
significant ve relationship between,5
linear relationship between water,5
relationship between input output data,5
constitutive relationship between capillary pressure saturation,4
relationship between different variables,4
relationship between hydrological variables,4
relationship between soil hydraulic,4
relationship between water use,4
relationship between dielectric constant,4
relationship between water depth,4
complementary relationship between actual potential evaporation,4
relationship between actual potential evaporation,4
one one relationship between,4
relationship between drainage density,4
relationship between sediment concentration,4
relationship between radar reflectivity rainfall,4
simple linear relationship between,4
relationship between sediment transport,4
linear relationship between rainfall,4
relationship between climate change,4
into relationship between rainfall,4
significant linear relationship between,4
linear relationship between average,4
non stationary relationship between,4
relationship between remotely sensed,4
relationship between climatic indices,4
using empirical relationship between,4
there good relationship between,4
there no simple relationship between,4
no simple relationship between,4
relationship between water flux hydraulic,4
relationship between water flux hydraulic gradient,4
relationship between infiltration rate,4
relationship between land cover,4
based linear relationship between,4
found that relationship between,4
highly nonlinear relationship between,4
nonlinear relationship between rainfall,4
relationship between water table depth,4
relationship between meteorological conditions,4
relationship between groundwater level,4
capture nonlinear relationship between,4
nonlinear relationship between input,4
assumption linear relationship between,4
strong relationship between water,4
relationship between low flow,4
relationship between total rainfall,4
relationship between surface water groundwater,4
relationship between delta h,4
relationship between delta h 2,4
relationship between delta h 2 delta,4
relationship between delta h 2 delta o,4
relationship between delta h 2 delta o 18,4
relationship between stage discharge,4
relationship between deuterium excess,4
relationship between rainfall intensity kinetic,4
relationship between rainfall intensity kinetic energy,4
relationship between magnitude frequency,4
nonlinear relationship between inputs,4
relationship between water air,4
relationship between hydrologic variables,4
improved understanding relationship between,4
found strong relationship between,4
strong positive relationship between,4
relationship between tree ring,4
relationship between h g,4
used assess relationship between,4
linear relationship between mean,4
used examine relationship between,4
relationship between sediment load,4
relationship between particle size,4
relationship between water supply,4
relationship between soil properties,4
relationship between soil detachment,4
establish quantitative relationship between,4
slope linear relationship between,4
relationship between parameter values,4
relationship between delta d delta o,4
investigate relationship between soil,4
relationship between satellite derived,4
relationship between extreme precipitation corresponding daily,4
relationship between extreme precipitation corresponding daily mean,4
relationship between extreme precipitation corresponding daily mean temperature,4
linear relationship between dispersion,4
linear relationship between dispersion coefficient,4
relationship between dispersion coefficient,4
linear relationship between d,3
relationship between d l,3
functional relationship between capillary pressure saturation,3
functional relationship between capillary pressure saturation interfacial,3
functional relationship between capillary pressure saturation interfacial area,3
power law relationship between discharge,3
law relationship between discharge,3
show strong relationship between,3
log linear relationship between,3
relationship between canopy conductance,3
relationship between two variables,3
long term relationship between,3
find that relationship between,3
function describing relationship between,3
relationship between climatic variables,3
relationship between hydraulic gradient,3
c q relationship between,3
relationship between soil moisture patterns,3
relationship between capillary pressure pc,3
relationship between channel width,3
relationship between canopy height reference,3
inverse relationship between no3,3
relationship between hydrological drought,3
