Word,Frequency
information theory,101
percolation theory,78
theory based,77
theory that,74
stochastic theory,73
game theory,67
based theory,62
value theory,60
extreme value theory,58
theory used,58
theory applied,55
entropy theory,53
similarity theory,46
filtration theory,45
flow theory,42
theory developed,38
linear theory,38
wave theory,37
network theory,36
theory has,36
transport theory,35
averaging theory,35
theory approach,33
theory practice,31
perturbation theory,31
graph theory,30
set theory,29
theory application,28
scaling theory,28
run theory,27
1 theory,27
kinematic wave theory,27
theory two,25
chaos theory,25
between theory,24
potential theory,24
theory model,24
obukhov similarity theory,24
existing theory,24
colloid filtration theory,24
new theory,23
fuzzy set theory,23
constitutive theory,22
constrained averaging theory,22
dispersion theory,21
using theory,21
that theory,21
our theory,21
layer theory,20
theory provides,20
homogenization theory,20
theory proposed,20
decision theory,20
theory has been,20
theory results,20
cooperative game theory,19
groundwater theory,19
theory guided,19
theory predicts,18
complex network theory,18
hydraulic theory,18
systems theory,18
theory water,17
information theory based,17
general theory,17
theory have,17
theory presented,17
developed theory,17
theory stochastic,17
probability theory,16
diffusion theory,16
hydrological theory,16
effective medium theory,15
medium theory,15
theory experiments,15
theory flow,15
theory using,15
theory numerical,15
theory concepts,15
fractal theory,15
control theory,15
application theory,14
theory transport,14
hydraulic groundwater theory,14
bayesian theory,14
theory it,14
theory also,14
current theory,14
fuzzy theory,14
dlvo theory,13
theory provide,13
theory method,13
both theory,13
theory then,13
theory field,13
theory data,13
mathematical theory,13
classical theory,13
theory describing,13
learning theory,13
theory does,12
theory compared,12
theory may,12
theory derived,12
theory models,12
theory however,12
theory methods,12
biot theory,12
order theory,12
theory paper,12
theory does not,11
theory study,11
theory solute,11
theory these,11
hydrology theory,11
boussinesq theory,11
averaging theory tcat,11
theory tcat,11
predicted theory,11
hydrologic theory,11
infiltration theory,11
theory experiment,11
theory well,10
these theory,10
theory solute transport,10
theory c,10
theory analysis,10
unit hydrograph theory,10
hydrograph theory,10
using information theory,10
reservoir theory,10
theory spatial,10
lagrangian theory,10
theory most,10
theory analytical,10
theory predict,10
transfer theory,9
distribution theory,9
theory assumes,9
theory theory,9
theory estimate,9
theory allows,9
such theory,9
well theory,9
averaging theory approach,9
theory approach modeling,9
